year,region,country,attack_type,group_name,killed,wounded,total_casualties,target_type,weapon_type,success,latitude,longitude
1994,Europe,Ukraine,Facility Attack,Storm Seekers,0,0,0,Business,Melee,1,51.9413,21.8509
1994,Europe,Kosovo,Armed Assault,Black Sun Collective,1,31,32,Business,Explosives,0,42.6946,21.9483
1994,Europe,Bosnia,Bombing/Explosion,Silent Thunder,9,13,22,Military,Firearms,1,50.5612,35.1918
1994,Southeast Asia,Indonesia,Unarmed Assault,Storm Seekers,1,0,1,Civilians,Firearms,1,10.5968,96.8853
1994,Middle East,Yemen,Armed Assault,Desert Storm Faction,5,1,6,Military,Explosives,1,32.1419,45.6948
1994,Middle East,Yemen,Bombing/Explosion,Northern Covenant,32,12,44,Civilians,Melee,0,34.6812,51.0706
1994,Central Asia,Kyrgyzstan,Assassination,Shadow Front,0,1,1,Civilians,Explosives,1,43.7893,66.283
1994,Europe,Bosnia,Unarmed Assault,Eastern Resistance,1,23,24,Civilians,Unknown,1,41.5304,37.9779
1994,Africa,Ethiopia,Bombing/Explosion,Black Sun Collective,14,2,16,Civilians,Unknown,1,-3.6949,37.1977
1994,Americas,El Salvador,Bombing/Explosion,Eastern Resistance,16,4,20,Police,Chemical,1,17.4802,-78.6647
1994,Americas,Honduras,Bombing/Explosion,Liberation Front Alpha,0,95,95,Business,Unknown,0,20.6586,-78.6481
1994,South Asia,India,Bombing/Explosion,Unknown Cell,26,105,131,Business,Chemical,1,23.415,88.1787
1994,South Asia,Nepal,Armed Assault,Crimson Path,5,9,14,Civilians,Vehicle,1,19.5602,73.8357
1994,Middle East,Syria,Armed Assault,Frontier Guard,1,3,4,Business,Vehicle,1,32.4722,46.3746
1994,Central Asia,Kazakhstan,Bombing/Explosion,Grey Wolf Alliance,32,11,43,Business,Melee,1,40.9106,79.5541
1994,Southeast Asia,Myanmar,Bombing/Explosion,Liberation Front Alpha,31,33,64,Military,Chemical,1,14.5106,96.6382
1994,South Asia,Sri Lanka,Facility Attack,Eastern Resistance,0,5,5,Business,Melee,1,20.3689,84.6042
1994,Southeast Asia,Thailand,Facility Attack,Red Crescent Brigade,5,2,7,Civilians,Chemical,0,15.4738,107.5609
1995,Central Asia,Kazakhstan,Armed Assault,Northern Covenant,14,9,23,Military,Explosives,1,44.9322,71.9981
1995,Europe,Bosnia,Facility Attack,Liberation Front Alpha,0,6,6,Civilians,Vehicle,1,42.2109,39.747
1995,Middle East,Afghanistan,Bombing/Explosion,Unknown Cell,146,4,150,Government,Explosives,1,29.7253,54.3087
1995,Middle East,Iraq,Bombing/Explosion,Liberation Front Alpha,30,6,36,Business,Melee,1,35.51,56.8463
1995,South Asia,Sri Lanka,Bombing/Explosion,Storm Seekers,27,35,62,Military,Firearms,1,31.6769,68.5039
1995,Europe,Ukraine,Armed Assault,Storm Seekers,2,4,6,Military,Firearms,1,42.8818,35.2372
1995,Americas,Honduras,Unarmed Assault,Crimson Path,4,2,6,Military,Unknown,1,7.8886,-66.8961
1995,South Asia,Bangladesh,Assassination,Shadow Front,2,0,2,Business,Melee,0,33.4015,73.8692
1995,Americas,Mexico,Facility Attack,Crimson Path,9,9,18,Government,Melee,0,11.5536,-88.6685
1995,Central Asia,Kazakhstan,Facility Attack,Eastern Resistance,11,1,12,Religious,Chemical,0,40.0924,66.2211
1995,Americas,Colombia,Bombing/Explosion,Eastern Resistance,16,24,40,Business,Vehicle,1,17.9014,-77.271
1995,Europe,Russia,Armed Assault,Eastern Resistance,3,7,10,Government,Melee,1,45.7996,38.8938
1995,Americas,El Salvador,Assassination,Eastern Resistance,0,4,4,Military,Chemical,0,9.144,-67.6279
1995,Europe,Russia,Armed Assault,Grey Wolf Alliance,6,0,6,Civilians,Vehicle,1,51.226,24.3527
1995,South Asia,India,Bombing/Explosion,Frontier Guard,20,16,36,Government,Chemical,1,23.183,79.1661
1995,Europe,Kosovo,Armed Assault,Shadow Front,0,41,41,Military,Vehicle,1,45.9705,21.8255
1995,Europe,Russia,Bombing/Explosion,Grey Wolf Alliance,53,19,72,Business,Explosives,1,40.989,36.0651
1995,Southeast Asia,Philippines,Facility Attack,Northern Covenant,0,10,10,Government,Firearms,1,6.2129,96.1484
1995,South Asia,Nepal,Bombing/Explosion,Silent Thunder,12,9,21,Business,Unknown,1,25.772,74.5871
1995,South Asia,Nepal,Bombing/Explosion,Black Sun Collective,12,19,31,Business,Melee,1,17.0124,91.9242
1995,Central Asia,Kyrgyzstan,Bombing/Explosion,Black Sun Collective,14,15,29,Military,Unknown,1,45.6116,67.2392
1995,South Asia,Sri Lanka,Armed Assault,Free Sons Movement,7,30,37,Police,Chemical,1,22.368,79.2497
1995,Africa,Somalia,Armed Assault,Eastern Resistance,3,15,18,Police,Firearms,1,18.5482,23.366
1995,Central Asia,Kyrgyzstan,Bombing/Explosion,Shadow Front,40,16,56,Police,Firearms,1,39.2835,79.1503
1995,Central Asia,Kyrgyzstan,Facility Attack,Crimson Path,2,6,8,Religious,Melee,1,42.2572,76.2894
1996,Africa,DRC,Assassination,Liberation Front Alpha,1,4,5,Business,Chemical,0,18.0536,14.9181
1996,Southeast Asia,Indonesia,Hijacking,Eastern Resistance,0,8,8,Civilians,Firearms,0,6.0831,106.593
1996,Africa,Mozambique,Assassination,Shadow Front,0,0,0,Religious,Melee,1,-2.3922,27.693
1996,Americas,El Salvador,Bombing/Explosion,Northern Covenant,18,9,27,Government,Firearms,1,24.2599,-82.9046
1996,Southeast Asia,Philippines,Armed Assault,Black Sun Collective,2,4,6,Police,Melee,1,7.921,120.7912
1996,South Asia,India,Bombing/Explosion,Free Sons Movement,5,0,5,Military,Vehicle,1,9.7878,90.9223
1996,South Asia,Sri Lanka,Armed Assault,Desert Storm Faction,28,2,30,Business,Unknown,1,12.1283,81.8022
1996,South Asia,Bangladesh,Bombing/Explosion,Frontier Guard,23,38,61,Military,Explosives,0,19.589,87.79
1996,Americas,Peru,Unarmed Assault,Desert Storm Faction,7,0,7,Religious,Vehicle,1,16.5227,-71.5677
1996,Europe,Bosnia,Hostage Taking,Free Sons Movement,2,1,3,Military,Unknown,0,44.6931,35.5857
1996,Europe,Russia,Bombing/Explosion,Red Crescent Brigade,18,27,45,Religious,Chemical,1,45.4939,37.7708
1996,Americas,Colombia,Armed Assault,Storm Seekers,13,4,17,Business,Explosives,1,22.4108,-83.1556
1996,Africa,Somalia,Assassination,Crimson Path,2,2,4,Business,Unknown,0,17.7184,23.1609
1996,Middle East,Afghanistan,Bombing/Explosion,Red Crescent Brigade,28,125,153,Government,Explosives,1,34.1336,47.8928
1996,South Asia,India,Armed Assault,Liberation Front Alpha,1,62,63,Religious,Explosives,1,25.5662,79.0857
1996,Europe,Russia,Armed Assault,Storm Seekers,0,0,0,Religious,Explosives,1,48.5092,18.412
1996,Europe,Kosovo,Armed Assault,Red Crescent Brigade,0,5,5,Police,Explosives,1,42.9075,38.7505
1996,Central Asia,Tajikistan,Facility Attack,Iron Vanguard,5,0,5,Business,Firearms,0,44.0699,67.6585
1996,Southeast Asia,Indonesia,Bombing/Explosion,Liberation Front Alpha,0,74,74,Military,Unknown,1,16.5155,99.6049
1996,South Asia,India,Unarmed Assault,Crimson Path,5,7,12,Business,Chemical,1,26.1153,88.076
1996,Southeast Asia,Philippines,Armed Assault,Black Sun Collective,17,14,31,Military,Melee,1,15.1695,96.4599
1996,South Asia,Nepal,Unarmed Assault,Liberation Front Alpha,0,2,2,Military,Firearms,1,18.9638,91.743
1996,Southeast Asia,Philippines,Bombing/Explosion,Red Crescent Brigade,23,8,31,Civilians,Explosives,1,19.1177,100.0365
1996,Europe,Turkey,Bombing/Explosion,Unknown Cell,20,0,20,Business,Melee,1,47.5214,30.6168
1996,Europe,Kosovo,Bombing/Explosion,Storm Seekers,6,21,27,Government,Firearms,1,43.8804,15.3749
1996,Middle East,Yemen,Bombing/Explosion,Liberation Front Alpha,17,23,40,Civilians,Firearms,1,34.5961,54.8484
1997,South Asia,Bangladesh,Armed Assault,Crimson Path,9,0,9,Business,Chemical,1,33.7523,85.1007
1997,South Asia,Nepal,Unarmed Assault,Unknown Cell,0,9,9,Religious,Chemical,1,24.4027,77.3256
1997,South Asia,Nepal,Bombing/Explosion,Liberation Front Alpha,20,3,23,Civilians,Unknown,1,30.1404,79.5711
1997,Americas,Honduras,Armed Assault,Shadow Front,14,3,17,Military,Chemical,1,9.6485,-75.3133
1997,Middle East,Pakistan,Hostage Taking,Frontier Guard,0,0,0,Civilians,Explosives,1,33.5929,57.9601
1997,Middle East,Syria,Armed Assault,Northern Covenant,9,13,22,Religious,Melee,1,28.8847,54.6191
1997,Americas,El Salvador,Hostage Taking,Shadow Front,0,2,2,Business,Melee,1,11.3508,-70.3257
1997,Central Asia,Tajikistan,Assassination,Liberation Front Alpha,1,1,2,Military,Melee,0,40.2901,75.9931
1997,South Asia,India,Unarmed Assault,Northern Covenant,0,1,1,Business,Unknown,0,28.8377,84.7107
1997,Central Asia,Tajikistan,Armed Assault,Iron Vanguard,0,10,10,Military,Firearms,1,38.0604,78.048
1997,Middle East,Lebanon,Hijacking,Crimson Path,1,1,2,Military,Firearms,1,26.2578,51.9166
1997,South Asia,India,Armed Assault,Red Crescent Brigade,1,0,1,Business,Vehicle,1,26.7635,73.8782
1997,South Asia,Nepal,Bombing/Explosion,Eastern Resistance,4,14,18,Civilians,Vehicle,0,13.2364,88.6982
1997,Africa,Ethiopia,Armed Assault,Crimson Path,11,2,13,Military,Vehicle,1,7.6323,33.5177
1997,Central Asia,Tajikistan,Bombing/Explosion,Desert Storm Faction,22,54,76,Business,Vehicle,1,38.8323,78.5969
1997,Americas,Mexico,Assassination,Black Sun Collective,1,5,6,Business,Firearms,1,14.273,-78.6599
1997,Americas,El Salvador,Bombing/Explosion,Shadow Front,14,27,41,Civilians,Firearms,1,8.9143,-67.0967
1997,Central Asia,Kyrgyzstan,Hostage Taking,Silent Thunder,0,0,0,Government,Melee,1,47.2569,79.1043
1997,Europe,Kosovo,Armed Assault,Iron Vanguard,2,4,6,Police,Chemical,1,50.62,39.8118
1998,South Asia,Sri Lanka,Hostage Taking,Silent Thunder,0,1,1,Police,Melee,0,27.541,76.3659
1998,Southeast Asia,Thailand,Assassination,Eastern Resistance,0,7,7,Civilians,Unknown,1,12.2087,102.4038
1998,Central Asia,Tajikistan,Assassination,Frontier Guard,2,1,3,Police,Unknown,1,44.6568,67.2183
1998,Southeast Asia,Myanmar,Bombing/Explosion,Iron Vanguard,3,57,60,Civilians,Chemical,1,16.2643,99.8428
1998,Southeast Asia,Indonesia,Armed Assault,Unknown Cell,13,15,28,Police,Chemical,0,6.3659,122.2985
1998,South Asia,Bangladesh,Bombing/Explosion,Frontier Guard,5,13,18,Government,Melee,1,21.8632,89.2796
1998,Southeast Asia,Indonesia,Hostage Taking,Crimson Path,0,0,0,Government,Unknown,0,6.8577,112.1784
1998,Central Asia,Kazakhstan,Bombing/Explosion,Red Crescent Brigade,27,33,60,Police,Firearms,0,41.9797,69.6215
1998,Middle East,Iraq,Bombing/Explosion,Black Sun Collective,16,61,77,Military,Unknown,1,29.419,44.3619
1998,South Asia,Nepal,Bombing/Explosion,Eastern Resistance,15,16,31,Business,Firearms,1,12.7316,90.7636
1998,Central Asia,Kazakhstan,Bombing/Explosion,Unknown Cell,7,76,83,Police,Explosives,1,46.0918,67.8783
1998,Europe,Turkey,Bombing/Explosion,Desert Storm Faction,1,72,73,Civilians,Unknown,1,43.5175,24.4432
1998,Africa,Nigeria,Assassination,Desert Storm Faction,3,0,3,Civilians,Vehicle,1,14.0133,10.3042
1998,Southeast Asia,Philippines,Bombing/Explosion,Crimson Path,14,54,68,Government,Chemical,1,11.3863,110.6022
1998,Europe,Kosovo,Hostage Taking,Liberation Front Alpha,0,3,3,Military,Chemical,1,44.4494,37.2538
1998,Africa,Ethiopia,Armed Assault,Shadow Front,22,6,28,Police,Explosives,0,16.8269,35.8006
1998,Central Asia,Kyrgyzstan,Armed Assault,Silent Thunder,3,33,36,Military,Firearms,1,39.2289,72.9594
1998,Africa,Mozambique,Assassination,Shadow Front,2,0,2,Religious,Unknown,0,7.8729,31.1273
1998,Central Asia,Tajikistan,Bombing/Explosion,Storm Seekers,0,22,22,Police,Melee,0,47.696,76.0372
1998,South Asia,Bangladesh,Armed Assault,Unknown Cell,21,22,43,Police,Chemical,1,17.0567,90.538
1998,Southeast Asia,Philippines,Hostage Taking,Unknown Cell,1,0,1,Business,Melee,1,17.103,121.0958
1998,Central Asia,Kyrgyzstan,Armed Assault,Grey Wolf Alliance,2,25,27,Police,Firearms,1,38.8709,77.4853
1998,South Asia,Bangladesh,Unarmed Assault,Crimson Path,0,1,1,Religious,Vehicle,1,14.2634,73.0794
1998,Southeast Asia,Philippines,Bombing/Explosion,Black Sun Collective,2,30,32,Government,Unknown,1,20.7931,104.795
1998,South Asia,Nepal,Assassination,Silent Thunder,5,0,5,Police,Unknown,1,11.5297,80.829
1998,Middle East,Lebanon,Armed Assault,Storm Seekers,5,12,17,Government,Firearms,0,33.9624,53.4197
1998,Europe,Kosovo,Assassination,Desert Storm Faction,15,0,15,Civilians,Chemical,0,45.2435,20.8342
1999,Middle East,Iraq,Bombing/Explosion,Frontier Guard,12,13,25,Government,Unknown,1,26.446,63.3182
1999,South Asia,Nepal,Unarmed Assault,Northern Covenant,6,2,8,Police,Chemical,0,16.0808,82.1614
1999,Europe,Bosnia,Hostage Taking,Frontier Guard,0,1,1,Military,Unknown,0,41.5157,31.5936
1999,Middle East,Yemen,Bombing/Explosion,Northern Covenant,26,0,26,Police,Vehicle,1,34.6099,44.6079
1999,Southeast Asia,Indonesia,Bombing/Explosion,Silent Thunder,35,5,40,Civilians,Melee,1,16.311,119.0388
1999,Americas,Peru,Armed Assault,Eastern Resistance,6,6,12,Religious,Unknown,1,24.937,-72.3369
1999,Central Asia,Kazakhstan,Armed Assault,Red Crescent Brigade,10,5,15,Religious,Unknown,0,38.5881,77.1532
1999,South Asia,Sri Lanka,Hostage Taking,Silent Thunder,2,1,3,Police,Explosives,0,28.177,88.5627
1999,Africa,Sudan,Hijacking,Liberation Front Alpha,1,2,3,Police,Chemical,1,5.5609,25.1495
1999,Europe,Ukraine,Armed Assault,Grey Wolf Alliance,11,0,11,Police,Melee,1,51.0768,32.5277
1999,Middle East,Syria,Armed Assault,Desert Storm Faction,4,32,36,Police,Chemical,0,24.7036,63.1027
1999,Southeast Asia,Myanmar,Assassination,Northern Covenant,0,4,4,Religious,Vehicle,0,9.9484,99.3447
1999,South Asia,India,Armed Assault,Black Sun Collective,29,0,29,Police,Chemical,1,28.423,88.6023
1999,Southeast Asia,Myanmar,Unarmed Assault,Iron Vanguard,3,2,5,Business,Explosives,1,13.0559,123.3519
1999,Southeast Asia,Thailand,Assassination,Northern Covenant,1,0,1,Police,Firearms,0,11.8679,96.0198
1999,Europe,Bosnia,Assassination,Crimson Path,0,3,3,Religious,Firearms,0,44.5045,32.2949
1999,Southeast Asia,Philippines,Hostage Taking,Shadow Front,1,2,3,Civilians,Unknown,1,15.7497,108.3535
1999,Middle East,Iraq,Bombing/Explosion,Frontier Guard,14,2,16,Business,Unknown,1,30.6267,36.6678
1999,Europe,Bosnia,Assassination,Storm Seekers,2,0,2,Religious,Explosives,0,42.1732,27.1048
1999,Europe,Bosnia,Assassination,Grey Wolf Alliance,4,5,9,Military,Explosives,1,48.5652,36.5553
1999,Europe,Ukraine,Armed Assault,Free Sons Movement,9,35,44,Business,Chemical,1,46.3611,16.5983
1999,Americas,Colombia,Hostage Taking,Frontier Guard,0,1,1,Religious,Firearms,0,22.952,-85.4834
2000,Middle East,Pakistan,Armed Assault,Red Crescent Brigade,3,28,31,Civilians,Melee,1,25.6746,41.9807
2000,Americas,Peru,Facility Attack,Grey Wolf Alliance,1,9,10,Military,Explosives,1,7.4943,-82.5356
2000,Europe,Ukraine,Bombing/Explosion,Storm Seekers,37,1,38,Business,Explosives,0,46.2333,34.57
2000,Europe,Russia,Assassination,Frontier Guard,1,4,5,Business,Unknown,1,50.9294,39.9199
2000,Americas,Mexico,Assassination,Desert Storm Faction,1,0,1,Military,Unknown,0,9.742,-85.2982
